id,lang,prabowo_words,lexical,grammatical,proper,numeral,tokens_excl,density,density_incl_proper,epi_total,epi_cognitive_verb,epi_adverbial,epi_adjectival,epi_deferential,date,interaction_type,field_domain,event,field6,it5,scripted,epi_total_per1k,epi_cognitive_verb_per1k,epi_adverbial_per1k,epi_adjectival_per1k,epi_deferential_per1k
142,English,254,115,117,22,2,232,49.569,53.516,0,0,0,0,0,2025-09-08,Ceremonial / policy address,International diplomacy and strategic partnership,"BRICS Leaders Virtual Meeting (melalui Video Conference) di Kertanegara, Kota Administrasi Jakarta",Intl diplomacy,Ceremonial / policy address,scripted,0.0,0.0,0.0,0.0,0.0
143,Bahasa Indonesia,792,371,383,16,49,754,49.204,47.253,16,5,7,2,2,2025-09-12,Press statement / media Q&A,Education and human-capital development,"Setelah Peninjauan SRMA 10 Margaguna, Jakarta Selatan di SRMA 10 Margaguna, Kota Administrasi Jakarta",Human capital & services,Press statement / media Q&A,spontaneous,20.202,6.313,8.838,2.525,2.525
144,Bahasa Indonesia,132,55,66,9,2,121,45.455,48.485,5,3,2,0,0,2025-09-25,Press statement / media Q&A,International diplomacy and strategic partnership,"Setelah Menghadiri Sidang Majelis Umum ke-80 Perserikatan Bangsa-Bangsa di New York, Amerika Serikat",Intl diplomacy,Press statement / media Q&A,spontaneous,37.879,22.727,15.152,0.0,0.0
145,Bahasa Indonesia,104,54,41,4,8,95,56.842,54.206,2,1,1,0,0,2025-09-25,Press statement / media Q&A,Health and public service,Setelah Penganugerahan Gelar Tanda Kehormatan Bintang Jasa Utama Kepada Bill Gates,Human capital & services,Press statement / media Q&A,spontaneous,19.231,9.615,9.615,0.0,0.0
146,Bahasa Indonesia,352,146,179,21,9,325,44.923,47.042,11,6,2,3,0,2025-09-30,Press statement / media Q&A,International diplomacy and strategic partnership,Saat Tiba di Tanah Air Usai Lawatan Luar Negeri,Intl diplomacy,Press statement / media Q&A,spontaneous,31.25,17.045,5.682,8.523,0.0
147,Bahasa Indonesia,2425,1150,1111,142,50,2261,50.862,52.67,32,17,14,1,0,2025-10-01,Presidential address,International diplomacy and strategic partnership,Akad Massal 26 Ribu Kredit Pemilikan Rumah Fasilitas Likuiditas Pembiayaan Perumahan dan Serah Terima,Intl diplomacy,Presidential address,scripted,13.196,7.01,5.773,0.412,0.0
148,Bahasa Indonesia,957,487,313,156,11,800,60.875,66.494,1,0,1,0,0,2025-10-08,Ceremonial / policy address,"Defence, security, law, and public order",Amanat Presiden Republik Indonesia pada Upacara Peringatan Hari Ulang Tahun ke-80 Tentara Nasional,Defence & security,Ceremonial / policy address,scripted,1.045,0.0,1.045,0.0,0.0
149,Bahasa Indonesia,205,99,97,8,1,196,50.51,52.195,2,2,0,0,0,2025-10-08,Ceremonial / policy address,"Defence, security, law, and public order",Penganugerahan Tanda Kehormatan Bintang Yudha Dharma Pratama dan Samkaryanugraha dalam Acara,Defence & security,Ceremonial / policy address,scripted,9.756,9.756,0.0,0.0,0.0
150,Bahasa Indonesia,256,131,101,9,20,232,56.466,53.64,4,2,2,0,0,2025-10-08,Ceremonial / policy address,"Infrastructure, energy, and natural resources","Setelah Menyaksikan Penyerahan Aset Rampasan Negara dari Tambang Ilegal Kepada PT Timah, Tbk di Smelter",Econ & material dev,Ceremonial / policy address,scripted,15.625,7.812,7.812,0.0,0.0
151,Bahasa Indonesia,253,113,116,21,3,229,49.345,52.964,8,4,4,0,0,2025-10-15,Ceremonial / policy address,"Defence, security, law, and public order",Saat Tiba di Tanah Air usai Hadiri KTT Perdamaian dan Penghentian Perang Gaza,Defence & security,Ceremonial / policy address,scripted,31.621,15.81,15.81,0.0,0.0
152,Bahasa Indonesia,51,26,20,3,4,46,56.522,54.717,1,1,0,0,0,2025-10-18,Press statement / media Q&A,Education and human-capital development,Setelah Menghadiri Sidang Senat Terbuka dan Dies Natalis Universitas Kebangsaan Republik Indonesia,Human capital & services,Press statement / media Q&A,spontaneous,19.608,19.608,0.0,0.0,0.0
153,Bahasa Indonesia,1143,545,490,72,61,1035,52.657,52.825,18,10,6,2,0,2025-10-20,Ceremonial / policy address,"Defence, security, law, and public order",Penyerahan Uang Pengganti Kerugian Negara Rp13.255244.538.149 dalam Perkara Tindak Pidana Korupsi,Defence & security,Ceremonial / policy address,scripted,15.748,8.749,5.249,1.75,0.0
154,Bahasa Indonesia,6557,3124,2983,269,365,6107,51.154,50.334,113,56,46,7,4,2025-10-20,Cabinet/executive briefing,Cabinet and executive governance,Sidang Kabinet Paripurna dalam rangka Memperingati Satu Tahun Pemerintahan Kabinet Merah Putih,Governance & admin,Cabinet/executive briefing,scripted,17.233,8.54,7.015,1.068,0.61
155,Bahasa Indonesia,814,355,372,70,36,727,48.831,51.02,10,6,3,0,1,2025-10-23,Press statement / media Q&A,International diplomacy and strategic partnership,Presiden Republik Federasi Brasil,Intl diplomacy,Press statement / media Q&A,spontaneous,12.285,7.371,3.686,0.0,1.229
156,Bahasa Indonesia,404,222,148,31,11,370,60.0,61.408,0,0,0,0,0,2025-10-29,Presidential address,"Religious, cultural, and social solidarity",Hari Sumpah Pemuda ke-97 Tahun 2025 dari Presiden Prabowo Subianto,Religious & cultural,Presidential address,scripted,0.0,0.0,0.0,0.0,0.0
157,Bahasa Indonesia,2402,1199,1031,141,42,2230,53.767,55.533,31,12,13,6,0,2025-10-29,Presidential address,"Defence, security, law, and public order","Pemusnahan Barang Bukti Narkoba 214,84 Ton Senilai Rp29,37 Triliun Periode Satu Tahun Pemerintahan oleh",Defence & security,Presidential address,scripted,12.906,4.996,5.412,2.498,0.0
158,Bahasa Indonesia,166,74,87,3,2,161,45.963,46.386,2,2,0,0,0,2025-10-29,Press statement / media Q&A,"Defence, security, law, and public order","Pemusnahan Barang Bukti Narkoba Sejumlah 214,84 Ton Senilai Rp29,37 Triliun Periode Satu Tahun",Defence & security,Press statement / media Q&A,spontaneous,12.048,12.048,0.0,0.0,0.0
159,Bahasa Indonesia,3317,1508,1460,288,95,2968,50.809,53.596,31,7,16,8,0,2026-01-05,Presidential address,"Religious, cultural, and social solidarity","Perayaan Natal Nasional Tahun 2025 di Tenis Indoor Senayan, Kota Administrasi Jakarta Pusat, Provinsi",Religious & cultural,Presidential address,scripted,9.346,2.11,4.824,2.412,0.0
160,Bahasa Indonesia,3388,1638,1447,279,55,3085,53.096,56.069,30,8,14,7,1,2026-01-07,Presidential address,"Food security, agriculture, and rural development","Panen Raya dan Pengumuman Swasembada Pangan di Desa Kertamukti, Kabupaten Karawang, Provinsi Jawa Barat",Econ & material dev,Presidential address,scripted,8.855,2.361,4.132,2.066,0.295
161,Bahasa Indonesia,1484,737,642,79,50,1379,53.445,54.111,24,4,9,11,0,2026-01-07,Cabinet/executive briefing,Cabinet and executive governance,"Taklimat Awal Tahun Presiden Republik Indonesia di Hambalang, Provinsi Jawa Barat",Governance & admin,Cabinet/executive briefing,scripted,16.173,2.695,6.065,7.412,0.0
162,Bahasa Indonesia,1314,651,484,166,19,1135,57.357,61.894,10,4,4,2,0,2026-01-08,Presidential address,International diplomacy and strategic partnership,Pemberian Penghargaan Atlet SEA Games Ke-33 Thailand,Intl diplomacy,Presidential address,scripted,7.61,3.044,3.044,1.522,0.0
163,Bahasa Indonesia,3470,1672,1411,351,71,3083,54.233,57.718,56,17,27,9,3,2026-01-12,Ceremonial / policy address,Education and human-capital development,Peresmian 166 Sekolah Rakyat di 34 Provinsi di Balai Besar Pendidkan Pelatihan Kesejahteran Sosial,Human capital & services,Ceremonial / policy address,scripted,16.138,4.899,7.781,2.594,0.865
164,Bahasa Indonesia,2509,1256,1011,200,78,2267,55.404,57.21,42,17,19,5,1,2026-01-12,Ceremonial / policy address,"Infrastructure, energy, and natural resources",Peresmian Infrastruktur Energi Terintegrasi Pertamina Refinery Development Master Plan,Econ & material dev,Ceremonial / policy address,scripted,16.74,6.776,7.573,1.993,0.399
165,Bahasa Indonesia,1000,475,378,135,33,853,55.686,59.745,6,4,2,0,0,2026-01-13,Ceremonial / policy address,Education and human-capital development,Peresmian SMA Taruna Nusantara Kampus Malang,Human capital & services,Ceremonial / policy address,scripted,6.0,4.0,2.0,0.0,0.0
166,Bahasa Indonesia,216,92,113,8,4,205,44.878,46.083,1,1,0,0,0,2026-01-20,Press statement / media Q&A,International diplomacy and strategic partnership,"Keterangan Pers di London, Inggris",Intl diplomacy,Press statement / media Q&A,spontaneous,4.63,4.63,0.0,0.0,0.0
167,English,6,4,2,0,0,6,66.667,66.667,0,0,0,0,0,2026-01-20,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,Pertemuan Bilateral Presiden Republik Indonesia Prabowo Subianto dan Perdana Menteri Inggris Keir Starmer,Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
168,English,111,47,56,8,0,103,45.631,49.55,0,0,0,0,0,2026-01-20,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,Pertemuan Tete-a-tete Presiden Republik Indonesia Prabowo Subianto dan Perdana Menteri Inggris Keir,Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
169,English,3496,1596,1755,145,64,3351,47.628,48.904,0,0,0,0,0,2026-01-22,Ceremonial / policy address,International diplomacy and strategic partnership,World Economic Forum (WEF) Annual Meeting 2026,Intl diplomacy,Ceremonial / policy address,scripted,0.0,0.0,0.0,0.0,0.0
