id,lang,prabowo_words,lexical,grammatical,proper,numeral,tokens_excl,density,density_incl_proper,epi_total,epi_cognitive_verb,epi_adverbial,epi_adjectival,epi_deferential,date,interaction_type,field_domain,event,field6,it5,scripted,epi_total_per1k,epi_cognitive_verb_per1k,epi_adverbial_per1k,epi_adjectival_per1k,epi_deferential_per1k
132,Bahasa Indonesia,1090,551,406,131,16,957,57.576,61.775,2,1,1,0,0,2025-07-01,Ceremonial / policy address,"Defence, security, law, and public order","Upacara Peringatan ke-79 Hari Bhayangkara di Pelataran Merdeka, Monas, Provinsi DKI Jakarta Selasa, 1",Defence & security,Ceremonial / policy address,scripted,1.835,0.917,0.917,0.0,0.0
133,English,1050,431,539,80,12,970,44.433,48.117,0,0,0,0,0,2025-07-10,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,Presiden Brasil,Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
134,English,547,227,292,28,4,519,43.738,46.279,0,0,0,0,0,2025-07-13,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,Pertemuan Bilateral dengan Presiden Dewan Eropa,Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
135,English,432,160,235,37,1,395,40.506,45.497,0,0,0,0,0,2025-07-13,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,"Presiden Komisi Eropa di Brussel, Belgia Minggu, 13 Juli 2025",Intl diplomacy,Diplomatic exchange / joint statement,scripted,0.0,0.0,0.0,0.0,0.0
136,Bahasa Indonesia,718,281,364,66,12,645,43.566,47.994,7,3,4,0,0,2025-07-17,Press statement / media Q&A,International diplomacy and strategic partnership,Setelah Melaksanakan Kunjungan Kerja ke Sejumlah Negara,Intl diplomacy,Press statement / media Q&A,spontaneous,9.749,4.178,5.571,0.0,0.0
137,Bahasa Indonesia,480,174,255,49,3,429,40.559,46.362,5,3,2,0,0,2025-07-20,Press statement / media Q&A,General presidential communication,"Setelah Kunjungan ke Kediaman Presiden ke-7 Republik Indonesia di Kelurahan Sumber, Kota Surakarta",Governance & admin,Press statement / media Q&A,spontaneous,10.417,6.25,4.167,0.0,0.0
138,Bahasa Indonesia,153,73,61,14,5,134,54.478,56.863,3,3,0,0,0,2025-07-29,Press statement / media Q&A,International diplomacy and strategic partnership,Perdana Menteri Malaysia Anwar Ibrahim dalam Pertemuan Tete-a-Tete,Intl diplomacy,Press statement / media Q&A,spontaneous,19.608,19.608,0.0,0.0,0.0
139,Bahasa Indonesia,3456,1965,1112,292,186,3077,63.861,63.488,6,1,2,1,2,2025-08-15,Presidential address,"Economy, investment, and business",Penyampaian Keterangan Pemerintah Atas Rancangan Undang-Undang Tentang Anggaran Pendapatan Dan Belanja,Econ & material dev,Presidential address,scripted,1.736,0.289,0.579,0.289,0.579
140,Bahasa Indonesia,2387,1395,815,160,69,2210,63.122,63.756,3,0,1,2,0,2025-08-15,Presidential address,General presidential communication,Sidang Tahunan Majelis Permusyawaratan Rakyat Republik Indonesia dan Sidang Bersama Dewan Perwakilan,Governance & admin,Presidential address,scripted,1.257,0.0,0.419,0.838,0.0
141,Bahasa Indonesia,358,181,161,15,1,342,52.924,54.749,2,2,0,0,0,2025-08-29,Presidential address,"Defence, security, law, and public order","Peristiwa Demonstrasi dan Wafatnya Pengemudi Ojol di Hambalang, Kabupaten Bogor, Provinsi Jawa Barat",Defence & security,Presidential address,scripted,5.587,5.587,0.0,0.0,0.0
