id,date,lang,interaction_type,field_domain,raw_words,prabowo_words,non_prabowo_words,in_domestic_sample,in_intl_sample,saya,kami,kita,I,me,my,we,us,our,saya_per1k,kami_per1k,kita_per1k,I_per1k,we_per1k,event
113,2025-05-28,English,Press statement / media Q&A,International diplomacy and strategic partnership,139,48,91,False,False,0,0,0,4,0,0,2,1,1,0.0,0.0,0.0,83.33,83.33,Presiden Republik Prancis pada Tete-a-tete Meeting
114,2025-05-29,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,924,202,722,False,False,5,3,4,0,0,0,0,0,0,24.75,14.85,19.8,0.0,0.0,Presiden Republik Prancis pada Acara Kunjungan ke Candi Borobudur
115,2025-05-29,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,534,213,321,False,False,7,3,8,0,0,0,0,0,0,32.86,14.08,37.56,0.0,0.0,Sambutan Presiden Republik Indonesia dan Presiden Republik Prancis pada Jamuan Makan Malam Kenegaraan
116,2025-05-30,English,Press statement / media Q&A,International diplomacy and strategic partnership,105,95,10,False,False,0,0,0,3,0,0,3,0,0,0.0,0.0,0.0,31.58,31.58,"Pertemuan dengan Utusan Khusus Perdana Menteri Inggris Urusan Pendidikan, Duta Besar Inggris untuk"
117,2025-06-05,Bahasa Indonesia,Presidential address,"Economy, investment, and business",1768,1768,0,True,False,54,0,93,0,0,0,0,0,0,30.54,0.0,52.6,0.0,0.0,Panen Raya Jagung Serentak Kuartal II dan Pelepasan Ekspor Jagung
118,2025-06-05,Bahasa Indonesia,Press statement / media Q&A,"Economy, investment, and business",142,137,5,False,False,1,0,11,0,0,0,0,0,0,7.3,0.0,80.29,0.0,0.0,Setelah Panen Raya Jagung Serentak Kuartal II dan Pelepasan Ekspor Jagung
119,2025-06-06,Bahasa Indonesia,Press statement / media Q&A,"Sport, youth, and national morale",59,33,26,False,False,0,0,5,0,0,0,0,0,0,0.0,0.0,151.52,0.0,0.0,Setelah Menyaksikan Pertandingan Laga Lanjutan Putaran Ketiga Kualifikasi Piala Dunia 2026 Indonesia VS
120,2025-06-12,Bahasa Indonesia,Presidential address,Education and human-capital development,1529,1529,0,True,False,58,0,33,0,0,0,0,0,0,37.93,0.0,21.58,0.0,0.0,"Pengukuhan Hakim Mahkamah Agung Republik Indonesia di Mahkamah Agung, Provinsi DKI Jakarta Kamis, 12"
121,2025-06-12,Bahasa Indonesia,Ceremonial / policy address,Education and human-capital development,925,925,0,False,False,45,0,23,0,0,0,0,0,0,48.65,0.0,24.86,0.0,0.0,"Peresmian Kampus Bhinneka Tunggal Ika Universitas Pertahanan di Universitas Pertahanan, Kabupaten Bogor"
122,2025-06-12,Bahasa Indonesia,Ceremonial / policy address,"Defence, security, law, and public order",1094,1094,0,False,False,16,0,36,0,0,0,0,0,0,14.63,0.0,32.91,0.0,0.0,"Peresmian Pembukaan Indo Defence 2025 Expo & Forum di Indo Defence Arena, JI-Expo Kemayoran, Provinsi"
123,2025-06-13,Bahasa Indonesia,Ceremonial / policy address,"Infrastructure, energy, and natural resources",2543,2543,0,True,False,82,0,127,0,0,0,0,0,0,32.25,0.0,49.94,0.0,0.0,"Peresmian Penutupan Konferensi Internasional Infrastruktur di Jakarta Convention Center, Kota"
124,2025-06-16,English,Ceremonial / policy address,International diplomacy and strategic partnership,620,620,0,False,True,0,0,0,17,2,6,18,0,9,0.0,0.0,0.0,40.32,43.55,"Jamuan Santap Siang Kenegaraan di Raffles Hotel, Singapura Senin, 16 Juni 2025"
125,2025-06-16,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,2016,1182,834,False,True,0,0,0,35,4,6,35,4,15,0.0,0.0,0.0,38.07,45.69,"Perdana Menteri Singapura di Parliament House, Singapura Senin, 16 Juni 2025"
126,2025-06-20,Bahasa Indonesia,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,1220,477,743,False,False,14,12,5,0,0,0,0,0,0,29.35,25.16,10.48,0.0,0.0,Presiden Federasi Rusia pada Kunjungan Resmi Presiden RI ke St. Petersburg
127,2025-06-20,Bahasa Indonesia,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,397,227,170,False,False,21,0,4,0,0,0,0,0,0,92.51,0.0,17.62,0.0,0.0,Presiden Federasi Rusia pada Pertemuan Tete-a-Tete
128,2025-06-25,English,Ceremonial / policy address,"Economy, investment, and business",1841,1841,0,False,True,0,0,0,41,6,16,59,7,16,0.0,0.0,0.0,34.22,44.54,St. Petersburg International Economic Forum (SPIEF ’25) di ExpoForum Convention and Exhibition Centre
129,2025-06-26,Bahasa Indonesia,Ceremonial / policy address,"Economy, investment, and business",1302,1302,0,False,False,46,0,38,0,0,0,0,0,0,35.33,0.0,29.19,0.0,0.0,Peresmian Kawasan Ekonomi Khusus (KEK) Sanur dan Bali International Hospital
130,2025-06-26,Bahasa Indonesia,Ceremonial / policy address,Health and public service,265,265,0,False,False,12,0,9,0,0,0,0,0,0,45.28,0.0,33.96,0.0,0.0,"Peresmian Ngoerah Sun Wellness and Aesthetic Center (NSWAC) di RSUP Prof. dr. I.G.N.G Ngoerah, Kota"
131,2025-06-26,Bahasa Indonesia,Ceremonial / policy address,"Infrastructure, energy, and natural resources",3743,2413,1330,True,False,51,8,88,0,0,0,0,0,0,21.14,3.32,36.47,0.0,0.0,"Peresmian Pengoperasian dan Pembangunan Energi Terbarukan di 15 Provinsi, Peningkatan Produksi Minyak 30"
132,2025-07-01,Bahasa Indonesia,Ceremonial / policy address,"Defence, security, law, and public order",1135,1135,0,False,False,24,0,34,0,0,0,0,0,0,21.15,0.0,29.96,0.0,0.0,"Upacara Peringatan ke-79 Hari Bhayangkara di Pelataran Merdeka, Monas, Provinsi DKI Jakarta Selasa, 1"
133,2025-07-10,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,1054,1054,0,False,True,0,0,0,25,2,10,43,0,10,0.0,0.0,0.0,35.1,50.28,Presiden Brasil
134,2025-07-13,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,547,547,0,False,False,0,0,0,13,2,0,27,1,8,0.0,0.0,0.0,27.42,65.81,Pertemuan Bilateral dengan Presiden Dewan Eropa
135,2025-07-13,English,Diplomatic exchange / joint statement,International diplomacy and strategic partnership,432,432,0,False,False,0,0,0,15,4,0,19,2,3,0.0,0.0,0.0,43.98,55.56,"Presiden Komisi Eropa di Brussel, Belgia Minggu, 13 Juli 2025"
136,2025-07-17,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,865,734,131,False,False,30,0,53,0,0,0,0,0,0,40.87,0.0,72.21,0.0,0.0,Setelah Melaksanakan Kunjungan Kerja ke Sejumlah Negara
137,2025-07-20,Bahasa Indonesia,Press statement / media Q&A,General presidential communication,546,499,47,False,False,19,0,19,0,0,0,0,0,0,38.08,0.0,38.08,0.0,0.0,"Setelah Kunjungan ke Kediaman Presiden ke-7 Republik Indonesia di Kelurahan Sumber, Kota Surakarta"
138,2025-07-29,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,224,155,69,False,False,4,2,9,0,0,0,0,0,0,25.81,12.9,58.06,0.0,0.0,Perdana Menteri Malaysia Anwar Ibrahim dalam Pertemuan Tete-a-Tete
139,2025-08-15,Bahasa Indonesia,Presidential address,"Economy, investment, and business",3503,3500,3,True,False,33,3,137,0,0,0,0,0,0,9.43,0.86,39.14,0.0,0.0,Penyampaian Keterangan Pemerintah Atas Rancangan Undang-Undang Tentang Anggaran Pendapatan Dan Belanja
140,2025-08-15,Bahasa Indonesia,Presidential address,General presidential communication,2465,2465,0,True,False,18,0,59,0,0,0,0,0,0,7.3,0.0,23.94,0.0,0.0,Sidang Tahunan Majelis Permusyawaratan Rakyat Republik Indonesia dan Sidang Bersama Dewan Perwakilan
141,2025-08-29,Bahasa Indonesia,Presidential address,"Defence, security, law, and public order",372,372,0,False,False,12,2,16,0,0,0,0,0,0,32.26,5.38,43.01,0.0,0.0,"Peristiwa Demonstrasi dan Wafatnya Pengemudi Ojol di Hambalang, Kabupaten Bogor, Provinsi Jawa Barat"
142,2025-09-08,English,Ceremonial / policy address,International diplomacy and strategic partnership,254,254,0,False,False,0,0,0,2,1,0,9,0,0,0.0,0.0,0.0,11.81,35.43,"BRICS Leaders Virtual Meeting (melalui Video Conference) di Kertanegara, Kota Administrasi Jakarta"
143,2025-09-12,Bahasa Indonesia,Press statement / media Q&A,Education and human-capital development,966,830,136,False,False,16,0,59,0,0,0,0,0,0,19.28,0.0,71.08,0.0,0.0,"Setelah Peninjauan SRMA 10 Margaguna, Jakarta Selatan di SRMA 10 Margaguna, Kota Administrasi Jakarta"
144,2025-09-25,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,185,133,52,False,False,9,0,6,0,0,0,0,0,0,67.67,0.0,45.11,0.0,0.0,"Setelah Menghadiri Sidang Majelis Umum ke-80 Perserikatan Bangsa-Bangsa di New York, Amerika Serikat"
145,2025-09-25,Bahasa Indonesia,Press statement / media Q&A,Health and public service,127,107,20,False,False,3,1,1,0,0,0,0,0,0,28.04,9.35,9.35,0.0,0.0,Setelah Penganugerahan Gelar Tanda Kehormatan Bintang Jasa Utama Kepada Bill Gates
146,2025-09-30,Bahasa Indonesia,Press statement / media Q&A,International diplomacy and strategic partnership,411,360,51,False,False,18,1,17,0,0,0,0,0,0,50.0,2.78,47.22,0.0,0.0,Saat Tiba di Tanah Air Usai Lawatan Luar Negeri
147,2025-10-01,Bahasa Indonesia,Presidential address,International diplomacy and strategic partnership,2496,2496,0,True,False,65,0,125,0,0,0,0,0,0,26.04,0.0,50.08,0.0,0.0,Akad Massal 26 Ribu Kredit Pemilikan Rumah Fasilitas Likuiditas Pembiayaan Perumahan dan Serah Terima
148,2025-10-08,Bahasa Indonesia,Ceremonial / policy address,"Defence, security, law, and public order",983,983,0,False,False,18,0,26,0,0,0,0,0,0,18.31,0.0,26.45,0.0,0.0,Amanat Presiden Republik Indonesia pada Upacara Peringatan Hari Ulang Tahun ke-80 Tentara Nasional
